y16,y17,y18
358.8001143,229.84702,259.5231636
328.8893455,303.7032308,231.1382
175.9683,381.2627625,245.337525
352.72752,373.1033,220.67668
296.6104364,229.3414,276.3559556
281.1378545,287.4548267,264.6902
346.01676,269.303,268.34104
301.8456,344.2775636,223.1812923
140.72046,317.5612333,300.29425
380.1091385,267.4038222,249.62848
331.0751667,221.5061111,248.2563385
301.8599538,290.9156,340.23805
400.4597714,264.1624,315.3621455
284.8491273,314.8521077,289.3177067
334.4589455,260.7305867,284.5798182
277.5444286,213.8322182,299.2716
271.7444,369.1447714,217.7879077
244.3211059,206.4118778,169.16456
208.413,237.6577882,271.4826
459.73448,407.8524,280.0291429
227.4808727,260.4886,425.5721333
316.6331692,313.3084727,267.29696
324.0891818,237.7725778,274.644
266.6510154,440.7101846,308.94768
336.6836571,348.1020235,243.2152333
293.5836,278.45208,280.92235
379.1079333,318.1327875,282.0560571
242.43962,305.7538222,168.4216857
277.0965556,284.33684,244.7896462
309.8465333,283.4176364,258.1634
282.0053818,248.46696,284.22156
302.0286333,372.3774667,261.685925
305.4768,279.2989571,202.7272
212.60015,293.0495368,235.64336
282.203,252.0443273,329.4436
318.472,315.4682615,310.91735
232.8016727,378.29304,229.9994
329.00185,235.1681647,252.2901538
283.0540545,201.8612727,177.25405
302.17952,300.6925889,358.5831091
432.94808,299.7092,189.7434667
290.5400889,301.0879579,245.45644
436.3349333,277.6985,295.5874333
156.6276222,246.4721846,203.9518667
346.02595,383.6892444,253.8420889
474.6537333,254.7705143,252.2877833
467.4602182,378.2953429,201.7452667
243.34245,311.7717333,274.3042353
427.77312,291.88292,193.7654
354.3374909,283.9344769,282.0047375
231.2404,340.69344,250.968025
364.46752,239.67545,164.2441692
414.0630333,272.0279429,187.7768
378.6838333,307.6312,383.0065778
305.5578,244.17334,200.9330667
290.2884364,358.6678667,251.5791333
355.2077,313.6463556,105.261
347.8151333,347.3766462,292.7900167
347.54912,193.8724667,191.7354
280.0602667,254.4902588,183.8416222
181.1478857,242.2563571,240.4241867
212.20124,155.3816,256.824775
205.0845765,263.2631833,255.4804
260.7644167,302.8430571,305.3279429
318.4448,256.4011714,148.910525
225.4037,200.17895,400.0454667
443.6404,401.0584571,327.9634526
386.6631273,331.2764,172.5592
358.5508444,306.58275,246.3308
310.5892727,305.0892571,362.2141091
316.82418,343.17088,286.5561765
344.9641333,281.5781143,270.2276333
334.78955,348.9544,321.3425857
246.905,189.9511429,281.64205
193.90252,288.9296444,277.3527429
319.5347143,365.8604,316.64185
334.9376923,343.7196545,180.919525
263.9525,479.81264,219.1527529
337.8027143,304.7965333,288.6728
293.03395,251.71032,295.5971111
388.7779429,378.45408,220.74448
221.8694,278.7485333,250.9248333
304.16595,218.2409176,256.2277333
386.9858667,271.2672,257.0986667
354.692,238.0768,361.7916333
209.0481333,180.8122286,304.4893538
299.045,260.3963125,241.5444857
154.9846222,210.0456333,206.1587714
303.8806,298.871675,261.7613818
298.767,333.5600167,309.7306
252.4512444,201.33965,167.8621091
272.1747,237.8142667,369.7438
363.6110625,267.6312769,220.88594
248.7645143,381.2903692,341.9231636
341.24845,298.7430833,233.1898
328.11304,269.7001467,305.0146286
294.6169818,274.41044,210.6172286
293.6495636,358.3110667,212.0876
321.0695733,255.7810375,283.1950444
300.52172,306.1896615,262.6511692
318.96955,238.7294875,177.56928
311.3348889,304.8741818,117.72712
304.8672615,194.6742,215.9384222
360.3936667,261.5070333,166.9610923
191.6783,243.4037,209.89184
403.158825,341.43548,280.4215714
379.4389143,387.8036,254.1648267
337.0104,262.3066364,164.0120286
276.0230133,309.42852,347.52056
345.3103,255.1789882,197.5084
220.72752,344.1113684,199.8820308
